Fighter_Name,Height,Weight,Reach,Stance,DOB,Wins,Losses,Draws,SLpM,Str_Acc,SApM,Str_Def,TD_Avg,TD_Acc,TD_Def,Sub_Avg,Fighter_URL,Image_URL,Recent_Form
Estefani Almeida,"5' 4""",125 lbs.,,Orthodox,1988-10-17,7,3,0,3.13,37%,6.07,42%,0.0,0%,0%,0.0,http://ufcstats.com/fighter-details/f16ddfa31236efed,,WWWWW
Jailton Almeida,"6' 3""",225 lbs.,"79.0""",Orthodox,1991-06-26,22,5,0,2.23,62%,1.3,43%,5.64,55%,60%,1.7,http://ufcstats.com/fighter-details/41e83a89929d1327,,WWWWW
Lucas Almeida,"5' 11""",145 lbs.,"71.0""",Orthodox,1991-01-31,15,5,0,4.94,39%,5.36,44%,0.0,0%,53%,0.0,http://ufcstats.com/fighter-details/710f0f8c5d5c9d41,,WWWWW
Cesar Almeida,"6' 1""",185 lbs.,"74.0""",Orthodox,1988-03-28,7,2,0,3.46,58%,2.03,46%,0.0,0%,52%,0.2,http://ufcstats.com/fighter-details/64d47ef881a437a4,,WWWWW
Mauricio Alonso,"6' 2""",170 lbs.,,,1980-02-27,13,7,0,5.74,34%,1.91,67%,0.0,0%,0%,0.0,http://ufcstats.com/fighter-details/c6bf75775b278ed8,,WWWWW
Sarah Alpar,"5' 4""",135 lbs.,"63.0""",Southpaw,1991-06-01,9,6,0,2.36,44%,6.06,38%,1.61,26%,20%,0.4,http://ufcstats.com/fighter-details/49b130de1da2e1bf,,WWWWW
Ali AlQaisi,"5' 6""",135 lbs.,"68.0""",Orthodox,1990-09-23,8,5,0,2.43,42%,1.97,56%,3.5,29%,60%,1.0,http://ufcstats.com/fighter-details/e87a13e02c01331d,,WWWWW
Rico Altamirano,"5' 10""",170 lbs.,,,,4,3,0,0.0,0%,0.0,0%,0.0,0%,0%,0.0,http://ufcstats.com/fighter-details/c61b49cec6abd6b9,,WWWWW
Victor Altamirano,"5' 8""",125 lbs.,"70.0""",Switch,1991-01-23,12,5,0,4.58,53%,3.82,53%,2.88,38%,63%,0.0,http://ufcstats.com/fighter-details/dc7927cd622676a7,,WWWWW
Mike Altman,"5' 10""",185 lbs.,,Orthodox,,1,4,0,1.56,20%,2.08,75%,0.0,0%,0%,0.0,http://ufcstats.com/fighter-details/c11036da9162cb5f,,WWWWW
Patricia Alujas,"5' 4""",115 lbs.,"64.0""",Orthodox,1996-05-08,9,3,0,5.83,31%,9.25,44%,0.0,0%,0%,0.0,http://ufcstats.com/fighter-details/430c533614d45813,,WWWWW
Sean Alvarez,"6' 0""",235 lbs.,,Orthodox,1971-07-14,4,3,0,0.89,37%,3.25,47%,0.0,0%,0%,0.0,http://ufcstats.com/fighter-details/e741536153227386,,WWWWW
Eddie Alvarez,"5' 9""",155 lbs.,"69.0""",Orthodox,1984-01-11,29,6,0,4.32,41%,4.39,55%,2.92,36%,92%,0.5,http://ufcstats.com/fighter-details/33a331684283900f,,WWWWW
Jaime Alvarez,"5' 8""",125 lbs.,"69.0""",Orthodox,1988-03-08,6,1,0,2.73,40%,4.53,56%,1.0,33%,50%,0.0,http://ufcstats.com/fighter-details/4438482bd1d5a029,,WWWWW
Joel Alvarez,"6' 3""",155 lbs.,"77.0""",Orthodox,1993-03-02,23,3,0,4.78,55%,3.07,54%,0.19,33%,47%,1.1,http://ufcstats.com/fighter-details/58bbef3770bb2dfc,,WWWWW
Thiago Alves,"5' 9""",170 lbs.,"70.0""",Orthodox,1983-10-03,23,15,0,3.73,41%,3.42,62%,0.71,60%,63%,0.3,http://ufcstats.com/fighter-details/31ee470ef5dc8d7f,,WWWWW
Anthony Alves,,,,,,1,4,0,0.0,0%,0.0,0%,0.0,0%,0%,0.0,http://ufcstats.com/fighter-details/bd92cf5da5413d2a,,WWWWW
Amilcar Alves,"6' 0""",170 lbs.,,Southpaw,1988-08-08,15,12,0,0.5,46%,2.02,30%,0.0,0%,53%,0.0,http://ufcstats.com/fighter-details/dc5a6b2fdb27e7dc,,WWWWW
Warlley Alves,"5' 11""",185 lbs.,"72.0""",Orthodox,1991-01-04,15,8,0,3.04,48%,3.95,50%,1.22,50%,62%,0.8,http://ufcstats.com/fighter-details/d317a5e2b3f88c5f,,WWWWW
Rafael Alves,"5' 8""",155 lbs.,"68.0""",Orthodox,1990-11-14,20,12,0,1.85,48%,3.3,58%,0.29,25%,44%,1.5,http://ufcstats.com/fighter-details/029afd138865d20a,,WWWWW
Sam Alvey,"6' 2""",185 lbs.,"75.0""",Southpaw,1986-05-06,33,18,1,3.28,44%,3.63,52%,0.06,14%,82%,0.1,http://ufcstats.com/fighter-details/d156513a19acf856,,WWWWW
Christopher Alvidrez,"6' 0""",170 lbs.,"74.0""",Orthodox,1996-12-27,7,1,0,6.97,62%,2.11,50%,0.0,0%,100%,0.0,http://ufcstats.com/fighter-details/f4abf9aeda861283,,WWWWW
Mahamed Aly,"6' 2""",205 lbs.,"78.0""",Orthodox,1994-01-11,4,1,0,6.0,66%,12.0,33%,0.0,0%,0%,0.0,http://ufcstats.com/fighter-details/86c1441676af2c73,,WWWWW
Andre Amado,"6' 0""",154 lbs.,,Orthodox,1983-10-09,6,4,1,2.27,24%,5.91,63%,0.0,0%,20%,0.0,http://ufcstats.com/fighter-details/20821819c401ced8,,WWWWW
Adlan Amagov,"6' 2""",170 lbs.,"76.0""",Orthodox,1986-10-30,14,2,1,3.29,47%,0.82,78%,5.84,56%,100%,0.0,http://ufcstats.com/fighter-details/1e327b281ef6a745,,WWWWW
Maiara Amanajas dos Santos,"5' 5""",115 lbs.,,Southpaw,1987-07-11,7,3,0,5.53,35%,24.47,33%,0.0,0%,100%,0.0,http://ufcstats.com/fighter-details/247fbbfafea60bb1,,WWWWW
Chris Amarante,,185 lbs.,,,,2,0,0,0.0,0%,0.0,0%,0.0,0%,0%,0.0,http://ufcstats.com/fighter-details/ee0b69e307c857e5,,WWWWW
Jimmy Ambriz,"6' 2""",315 lbs.,,Southpaw,1970-01-26,17,21,1,0.83,29%,3.76,40%,3.13,57%,100%,0.8,http://ufcstats.com/fighter-details/c912f676692c353a,,WWWWW
JJ Ambrose,"5' 10""",170 lbs.,,Orthodox,1987-02-06,28,7,0,3.16,69%,6.32,33%,0.0,0%,50%,0.0,http://ufcstats.com/fighter-details/d562b12b8fe88336,,WWWWW
Alen Amedovski,"5' 10""",185 lbs.,"74.0""",Orthodox,1988-04-06,8,4,0,0.99,30%,3.85,46%,0.0,0%,0%,0.0,http://ufcstats.com/fighter-details/70fa1c64a2c439ef,,WWWWW
Hyder Amil,"5' 9""",145 lbs.,"70.0""",Switch,1990-05-28,11,2,0,5.81,52%,3.95,51%,0.56,18%,65%,0.8,http://ufcstats.com/fighter-details/41cc71cbf210e0fe,,WWWWW
Hamid Amiri,,145 lbs.,,,2003-06-15,9,0,0,0.0,0%,0.0,0%,0.0,0%,0%,0.0,http://ufcstats.com/fighter-details/6c40705cf6c0d7e2,,WWWWW
Makwan Amirkhani,"5' 10""",145 lbs.,"72.0""",Southpaw,1988-11-08,17,9,0,1.33,44%,2.98,46%,3.96,43%,35%,1.1,http://ufcstats.com/fighter-details/87a1dc546b1c5caf,,WWWWW
